"year","yearly_ppt_mm","yearly_maxt","yearly_maxt_nas","yearly_mint","yearly_mint_nas","yearly_vpd"
1915,190.76,23.9024661028072,1,5.25900785038716,1,24.4983333333333
1916,225.54,24.7733192945837,0,5.43721208548795,0,26.4733333333333
1917,89.9,NA,2,NA,2,25.6516666666667
1918,222.51,NA,4,NA,4,25.5208333333333
1919,324.61,23.3398863501782,0,4.29782460931261,0,23.5675
1920,305.33,25.4525672033281,0,4.44250735317355,0,24.1666666666667
1921,145.3,NA,4,NA,4,26.1841666666667
1922,169.92,25.7921815417123,1,7.43187530944129,1,26.4808333333333
1923,240.79,22.181918583534,0,6.47610760000482,0,23.4291666666667
1924,151.61,25.0969819497508,0,4.56354707419224,0,27.8866666666667
1925,176.04,25.2793202764977,0,4.225633640553,0,27.5566666666667
1926,450.33,24.0390040962622,0,5.24109703020993,0,25.1075
1927,195.35,25.4185239491691,0,5.32351626867756,0,27.6758333333333
1928,248.4,24.7300395501174,0,4.67617105425782,0,26.5533333333333
1929,280.42,NA,7,NA,7,24.8716666666667
1930,145.57,24.6514341331638,0,5.53414552324452,0,26.9991666666667
1931,310.87,NA,3,NA,3,25.6583333333333
1932,323.85,NA,8,NA,8,25.9883333333333
1933,218.2,NA,4,NA,4,27.3775
1934,131.55,26.4431643625192,0,5.96689068100358,0,30.5116666666667
1935,278.86,24.1128456221198,0,6.3203853046595,0,25.4858333333333
1936,245.09,23.8145562971203,0,6.29097453961191,0,25.3533333333333
1937,217.97,NA,5,NA,5,25.9516666666667
1938,324.34,23.734607014849,0,5.45315540194572,0,24.9583333333333
1939,209.8,24.5063245893891,0,4.53734639016897,0,27.1933333333333
1940,288.26,24.2403194907922,0,5.67322024471635,0,26.4033333333333
1941,455.69,22.6026389551,0,6.77060291858679,0,22.1758333333333
1942,211.58,24.7630835407949,0,5.35504678920141,0,26.6441666666667
1943,220.22,25.800964984836,0,5.73955210374843,0,29.1458333333333
1944,240.23,24.2043906810036,0,4.53049684835002,0,26.03
1945,121.16,25.1308435739887,0,4.58684715821813,0,28.3191666666667
1946,273.05,25.1268636227201,0,5.45173782156541,0,27.46
1947,179.31,24.865376566709,0,4.81792949531379,0,27.235
1948,187.734,NA,4,NA,4,28.2916666666667
1949,273.04,24.2743410766028,0,5.44313802237189,0,26.1966666666667
1950,204.45,26.3452937125907,0,5.06152073732719,0,29.7116666666667
1951,111.78,24.5978400724229,1,4.90836619813261,1,30.3408333333333
1952,186.67,25.0439342384226,0,5.27313372883451,0,28.2883333333333
1953,78.73,25.7033060420848,0,4.79876708520859,1,30.0575
1954,185.69,26.2498846822748,0,6.19789095467627,0,29.1958333333333
1955,184.16,24.7638388024993,0,3.90324002958412,0,26.8666666666667
1956,89.39,25.8543955364867,0,3.10510752688172,0,30.74
1957,260.04,24.7945309358036,0,5.60162283489592,0,26.8725
1958,348.97,25.3172451803199,0,3.89910350124477,0,28.26
1959,226.56,25.769009831165,0,2.32143916521002,0,28.6125
1960,176.54,25.4165077709462,0,NA,2,27.785
1961,324.32,25.1618080543062,0,3.28493317891647,0,27.6283333333333
1962,394.73,25.8360286787823,0,1.51562988139075,0,27.0583333333333
1963,137.66,25.1357101380753,1,NA,3,29.1541666666667
1964,201.18,25.0738178596215,0,2.27605419160619,0,28.8291666666667
1965,176.78,25.5506747895467,0,5.13844350866042,0,28.9375
1966,165.59,25.2467338047566,0,4.65323640023306,0,28.7341666666667
1967,217.93,25.2418815095354,0,5.29816264102972,0,29.4258333333333
1968,247.39,24.6313366941426,0,4.52404571080878,0,26.7825
1969,248.93,25.4621925020593,0,5.41259897561344,0,28.79
1970,158.26,24.5245960404006,0,3.99426186582749,0,27.3583333333333
1971,212.6,24.5223203479759,0,4.59206586386084,0,27.4308333333333
1972,344.69,24.7195110479408,0,4.81590347299469,0,26.8875
1973,218.69,24.2036354326677,0,3.33937532002048,0,27.2608333333333
1974,403.62,24.5179613150414,0,4.44725598990059,0,27.1983333333333
1975,226.59,24.2168074756784,0,3.45304019457245,0,27.3175
1976,282.95,24.3670442908346,0,3.59174987199181,0,26.6833333333333
1977,185.396,26.3138055492894,1,5.2877128433302,1,29.0425
1978,392.42,24.757739996686,0,5.68482484948002,0,27.9858333333333
1979,236.456,23.2577340048032,1,2.00736163478099,1,26.2025
1980,214.39,25.1547963590743,0,3.62842691664067,0,28.8983333333333
1981,271.26,25.2048179389994,0,4.85248554145013,0,27.6325
1982,294.87,24.3100640180102,0,5.00283730622528,0,27.1483333333333
1983,248.93,23.7067046173308,0,4.55377398271136,0,25.8266666666667
1984,507.22,24.8463343108504,1,5.72062561094819,1,25.2783333333333
1985,327.15,24.6678187403994,0,4.17156938044035,0,27.06
1986,362.73,24.3793650793651,0,5.20220174091142,0,25.14
1987,270.76,23.7874231950845,0,3.3556643625192,0,25.6908333333333
1988,263.9,24.1636710790427,0,4.07389617345123,0,25.7308333333333
1989,252.46,25.3096023800696,0,4.29872340920728,0,29.1366666666667
1990,259.31,24.1840885816692,0,5.03566308243728,0,26
1991,411.7,23.3986367127496,0,4.80643881208397,0,24.6708333333333
1992,335.27,23.5867043628723,0,4.24093128167099,0,25.9283333333333
1993,262.89,24.3831925243216,0,4.88189324116744,0,27.04
1994,224.78,25.5100289183792,0,5.57213768264241,0,29.66
1995,198.63,25.5367418356677,0,5.48615667960163,0,28.6425
1996,283.98,25.7677205988988,0,5.36905475325016,0,28.6116666666667
1997,421.92,24.324852042638,0,5.0961751544436,0,26.6391666666667
1998,200.92,25.1417566279797,0,4.86636846888469,0,27.57
1999,292.11,25.4575266657227,0,4.89091583167177,0,27.4516666666667
2000,303.53,26.0295704043816,0,4.93260452129445,0,29.2608333333333
2001,162.55,25.7324469884572,0,4.61439731085671,0,28.2516666666667
2002,270.78,25.5682994389941,0,4.12340733741663,0,29.1266666666667
2003,130.05,26.1428958550921,0,4.5138772790627,0,30.2425
2004,404.6,24.0475392677969,0,4.89809599087487,0,26.7441666666667
2005,244.84,25.4174101477473,0,4.87360098949304,0,28.4775
2006,412.46,24.9796431354215,0,4.96947015739442,0,27.8916666666667
2007,278.37,24.9203991272282,0,4.73816003355931,0,27.5525
2008,310.87,24.6723878882759,0,3.6223679212718,0,27.3183333333333
2009,178.83,25.4839340456369,0,4.37276093185437,0,28.8225
2010,165.37,24.2573616752609,0,3.78232522557991,0,27.7783333333333
2011,174.24,25.0729366746905,0,3.30182025176181,0,30.91
2012,98.81,25.3739262547852,0,3.97861541058642,0,30.8883333333333
2013,227.08,23.953257020757,0,3.9312618708452,0,27.5358333333333
2014,207.49,25.0496411932283,0,6.00039819251845,0,27.715
2015,312.93,25.9898773022501,0,7.91429543833725,0,27.245
2016,134.63,25.8179912458694,0,5.67826938318688,0,29.29
2017,42.67,13.3103448275862,0,-1.4,0,10.46
