kartez,family,genus,sp_epithet,subspecies_variety,common_name,Native,PhotoPath,LifeHistory,FunctionalGroup
ABFR2,Nyctaginaceae,Abronia,fragrans,,snowball sand verbena,y,C3,p,f
ACEM4,Poaceae,Achnatherum,eminens,,southwestern needlegrass,y,C3,p,g
ACGL,Aceraceae,Acer,glabrum,,Rocky Mountain maple,y,C3,p,t
ACHY,Poaceae,Achnatherum,hymenoides,,Indian ricegrass ,y,C3,p,g
ACNA2,Asteraceae,Acourtia,nana,,dwarf desertpeony,y,C3,p,f
ACNE,Euphorbiaceae,Acalypha,neomexicana,,New Mexico copperleaf,y,C3,a,f
ACNE2,Aceraceae,Acer,negundo,,boxelder,y,C3,p,t
ACNEI2,Aceraceae,Acer,negundo,var. interius,boxelder,y,C3,p,t
ACRE3,Asteraceae,Acroptilon,repens,,hardheads,n,C3,p,f
AGGI2,Poaceae,Agrostis,gigantea,,redtop,n,C3,p,g
AGHE5,Asteraceae,Ageratina ,herbacea,,fragrant snakeroot,y,C3,p,f
AIAL,Simaroubaceae,Ailanthus,altissima,,tree of heaven,n,C3,p,t
ALCE2,Liliaceae,Allium,cernuum,,nodding onion,y,C3,p,f
ALFI3,Apiaceae,Aletes,filifolius,,Trans-Pecos Indian parsley,y,C3,p,f
ALGE,Liliaceae,Allium,geyeri,,Geyer's onion,y,C3,p,f
ALIN,Nyctaginaceae,Allionia,incarnata,,trailing windmills,y,C4,p,f
ALMA4,Liliaceae,Allium,macropetalum,,largeflower wild onion,y,C3,p,f
ALOC2,Chenopodiaceae,Allenrolfea,occidentalis,,iodinebush,y,C3,p,s
ALPA14,Asteraceae,Almutaster,pauciflorus,,alkali marsh aster,y,C3,p,f
ALWR,Verbenaceae,Aloysia,wrightii,,Wright's beebrush,y,C3,p,s
AMAC2,Asteraceae,Ambrosia,acanthicarpa,,flatspine bur ragweed,y,C3,a,f
AMAL,Amaranthaceae,Amaranthus,albus,,prostrate pigweed,y,C4,a,f
AMAR2,Asteraceae,Ambrosia,artemisiifolia,,annual ragweed,y,C3,a,f
AMARA,Amaranthaceae,Amaranthus,NA,,NA,NA,C4,a,f
AMBL,Amaranthaceae,Amaranthus,blitoides,,mat amaranth,n,C4,a,f
AMCH3,Nyctaginaceae,Ammocodon,chenopodioides,,goosefoot moonpod,y,C3,p,f
AMCO3,Asteraceae,Ambrosia,confertiflora,,weakleaf bur ragweed,y,C3,p,f
AMFU,Apocynaceae,Amsonia,fugatei,,San Antonio bluestar,y,C3,p,f
AMHY,Amaranthaceae,Amaranthus,hybridus,,slim amaranth,y,C4,a,f
AMPA,Amaranthaceae,Amaranthus,palmeri,,carlessweed,y,C4,a,f
AMPA5,Apocynaceae,Amsonia,palmeri,,Palmer's bluestar,y,C3,p,f
AMPO2,Amaranthaceae,Amaranthus,powellii,,Powell's amaranth,y,C4,a,f
ANCA10,Saururaceae,Anemopsis,californica,,yerba mansa,y,C3,p,f
APAN2,Apocynaceae,Apocynum,androsaemifolium,,spreading dogbane,y,C3,p,f
APRA,Asteraceae,Aphanostephus,ramosissimus,,plains dosedaisy,y,C3,p,f
APRAH,Asteraceae,Aphanostephus,ramosissimus,var. humilis,plains dosedaisy,y,C3,p,f
ARAD,Poaceae,Aristida,adscensionis,,sixweeks threeawn,y,C4,a,g
ARAR6,Poaceae,Aristida,arizonica,,Arizona threeawn,y,C4,p,g
ARBI3,Asteraceae,Artemisia,bigelovii,,Bigelow sagebrush,y,C3,p,s
ARCA12,Asteraceae,Artemisia,campestris,,field sagewort,y,C3,p,f
ARCA14,Asteraceae,Artemisia,carruthii,,Carruth's sagewort,y,C3,p,f
ARDI5,Poaceae,Aristida,divaricata,,poverty threeawn,y,C4,p,g
ARDR,Brassicaceae,Arabis,drummondii,,Dummond's rockcress,y,C3,p,f
ARDR4,Asteraceae,Artemisia,dracunculus,,wormwood,y,C3,p,f
ARFE5,Pteridaceae,Argyrochosma,fendleri,,Fendler's false cloak ferm,y,C3,p,f
ARFEF,Brassicaceae,Arabis,fendleri, var. fendleri,Fendler's rockcress,y,C3,p,f
ARFI2,Asteraceae,Artemisia,filifolia,,sand sagebrush,y,C3,p,s
ARFR4,Asteraceae,Artemisia,frigida,,prairie sagewort,y,C3,p,s
ARHA3,Poaceae,Aristida,havardii,,Harvard's threeawn,y,C4,p,g
ARIST,Poaceae,Aristida,NA,,threeawn,NA,C4,p,g
ARLU,Asteraceae,Artemisia,ludoviciana,,white sagebrush,y,C3,p,f
ARLUA,Asteraceae,Artemisia,ludoviciana,subsp. albula,white sagebrush,y,C3,p,f
ARLUL2,Asteraceae,Artemisia,ludoviciana,subsp. ludoviciana,white sagebrush,y,C3,p,f
ARPA9,Poaceae,Aristida,pansa,,Wooton's threeawn,y,C4,p,g
ARPE2,Brassicaceae,Arabis,perennans,,perennial rockcress,y,C3,p,f
ARPU9,Poaceae,Aristida,purpurea,,purple threeawn,y,C4,p,g
ARPUF,Poaceae,Aristida,purpurea,var. fendleriana,Fendler's threeawn,y,C4,p,g
ARPUL,Poaceae,Aristida,purpurea,var. longiseta,Fendler threeawn,y,C4,p,g
ARPUN,Poaceae,Aristida,purpurea,var. nealleyi,blue threeawn,y,C4,p,g
ARPUP6,Poaceae,Aristida,purpurea,var. purpurea ,purple threeawn,y,C4,p,g
ARPUW,Poaceae,Aristida,purpurea,var. wrightii,Wright's threeawn,y,C4,p,g
ASAL5,Fabaceae,Astragalus,albulus,,cibola milkvetch,y,C3,p,f
ASASA,Asclepiadaceae,Asclepias,asperula,subsp. asperula,spider milkweed,y,C3,p,f
ASBR,Asclepiadaceae,Asclepias,brachystephana,,bract milkweed,y,C3,p,f
ASEN,Asclepiadaceae,Asclepias,engelmanniana,,Engelmann's milkweed,y,C3,p,f
ASFE2,Fabaceae,Astragalus,missouriensis,var. mimetes,horn loco milkvetch,y,C3,p,f
ASFL2,Fabaceae,Astragalus,flexuosus,,flexile milkvetch,y,C3,p,f
ASLA4,Asclepiadaceae,Asclepias,latifolia,,broadleaf milkweed,y,C3,p,f
ASLE8,Fabaceae,Astragalus,lentiginosus,,freckled milkvetch,y,C3,p,s
ASLED,Fabaceae,Astragalus,lentiginosus,var. diphysus,freckled milkvetch,y,C3,p,f
ASMA,Asclepiadaceae,Asclepias,macrotis,,longhood milkweed,y,C3,p,s
ASMI10,Fabaceae,Astragalus,missouriensis,,Missouri milkvetch,y,C3,p,f
ASMIM,Fabaceae,Astragalus,missouriensis,,Missouri milkvetch,y,C3,p,f
ASNU4,Fabaceae,Astragalus,nuttallianus,,smallflowered milkvetch,y,C3,p,f
ASNUA,Fabaceae,Astragalus,nuttallianus,var. austrinus,smallflowered milkvetch,y,C3,a,f
ASPR5,Fabaceae,Astragalus,praelongus,,stinking milkvetch,y,C3,p,f
ASPRE,Fabaceae,Astragalus,praelongus,var. ellisiae,Ellis' stinking milkvetch,y,C3,p,f
ASPRP2,Fabaceae,Astragalus,praelongus,var. praelongus,stinking milkvetch,y,C3,p,f
ASRE,Aspleniaceae,Asplenium,resiliens,,blackstem spleenwart,y,NA,p,f
ASSP,Asclepiadaceae,Asclepias,speciosa,,showy milkweed,y,C3,p,f
ASSU2,Asclepiadaceae,Asclepias,subverticillata,,horsetail milkweed,y,C3,p,f
ASTE8,Fabaceae,Astragalus,tephrodes,,ashen milkvetch,y,C3,p,f
ASTRA,Fabaceae,Astragalus,NA,,milkvetch,NA,C3,p,f
ATARA,Chenopodiaceae,Atriplex,argentea,subsp. argentea,silverscale saltbush,y,C4,p,f
ATARE,Chenopodiaceae,Atriplex,argentea,subsp. expansa,silverscale saltbush,y,C4,p,f
ATCA2,Chenopodiaceae,Atriplex,canescens,,fourwing saltbush,y,C4,p,s
ATCO,Chenopodiaceae,Atriplex,confertifolia,,shadescale saltbush,y,C4,p,f
ATSA,Chenopodiaceae,Atriplex,saccaria,,sack saltbush,y,C4,a,f
BAAB,Asteraceae,Bahia,absinthifolia,,hairyseed bahia,y,C3,p,f
BAABA,Asteraceae,Bahia,absinthifolia,var. absinthifolia,hairyseed bahia,y,C3,p,f
BAABD,Asteraceae,Bahia,absinthifolia,var. dealbata,Dealbata's bahia,y,C3,p,f
BADI,Asteraceae,Bahia,dissecta,,ragleaf bahia,y,C3,p,f
BAEM,Asteraceae,Baccharis,emoryi,,Emory's baccharis,y,C3,p,s
BAHY,Chenopodiaceae,Bassia,hyssopifolia,,hybrid beardgrass,n,NA,a,f
BAMU,Asteraceae,Baileya,multiradiata,,desert marigold,y,C3,p,f
BAPE,Asteraceae,Bahia,pedata,,bluntscale bahia,y,C3,a,f
BAPL3,Asteraceae,Baileya,pleniradiata,,woolly desert marigold,y,C3,p,f
BAPT,Asteraceae,Baccharis,pteronioides,,NA,y,C3,p,s
BASA4,Asteraceae,Baccharis,salicifolia,,mule fat,y,C3,p,s
BASC5,Chenopodiaceae,Bassia,scoparia,,burningbush,n,NA,a,f
BEER,Apiaceae,Berula,erecta,,cutleaf waterparsnip,y,C3,p,f
BELY,Asteraceae,Berlandiera,lyrata,,lyreleaf greeneyes,y,C3,p,f
BICE,Asteraceae,Bidens,cernua,,nodding beggartick,y,C3,a,f
BIFR,Asteraceae,Bidens,frondosa,,devil's beggartick,y,C3,a,f
BOAR,Poaceae,Bouteloua,aristidoides,,needle grama,y,C4,a,g
BOBA2,Poaceae,Bouteloua,barbata,,sixweeks grama,y,C4,a,g
BOCU,Poaceae,Bouteloua,curtipendula,,sideoats grama,y,C4,p,g
BOER,Nyctaginaceae,Boerhavia,erecta,,erect spiderling,y,C4,p,f
BOER4,Poaceae,Bouteloua,eriopoda,,black grama,y,C4,p,g
BOGR2,Poaceae,Bouteloua,gracilis,,blue grama,y,C4,p,g
BOHI2,Poaceae,Bouteloua,hirsuta,,hairy grama,y,C4,p,g
BOIN,Nyctaginaceae,Boerhavia,intermedia,,fivewing spiderling,y,C4,a,f
BOLAT,Poaceae,Bothriochloa,laguroides,var. torreyana,silver beardgrass,y,NA,p,g
BOPU,Nyctaginaceae,Boerhavia,purpurascens,,purple spiderling,y,C4,a,f
BOSA,Poaceae,Bothriochloa,saccharoides,,silver bluestem,y,C4,p,g
BOSP,Nyctaginaceae,Boerhavia,spicata,,creeping spiderling,y,C4,a,f
BOSP3,Poaceae,Bothriochloa,springfieldii,,Springfield's beardgrass,y,NA,p,g
BOWR2,Poaceae,Bothriochloa,wrightii,,Wright's beardgrass,y,NA,p,g
BRBR2,Asteraceae,Brickellia,brachyphylla,,plumed brickellbush,y,C3,p,f
BRCA3,Asteraceae,Brickellia,californica,,California brickellbush,y,C3,p,s
BREU,Asteraceae,Brickellia,eupatorioides,,false boneset,y,NA,p,f
BREUC2,Asteraceae,Brickellia,eupatorioides,var. chlorolepis,ragged marsh-elder,y,C3,p,f
BREUE,Asteraceae,Brickellia,eupatorioides,var. eupatorioides,false boneset,y,NA,p,f
BRTE,Poaceae,Bromus,tectorum,,cheatgrass,n,C3,a,g
CADR6,Fabaceae,Hoffmannseggia,drepanocarpa,,sicklepod holdback,y,C3,p,f
CAHA14,Onagraceae,Calylophus,hartwegii,,Hartweg's subdrops,y,C3,p,f
CAHAF2,Onagraceae,Calylophus,hartwegii,var. filifolius,Hartweg's subdrops,y,C3,p,f
CAIN14,Scrophulariaceae,Castilleja,integra,,wholeleaf Indian paintbrush,y,C3,p,f
CALI2,Acanthaceae,Carlowrightia,linearifolia,,heath wrightwort,y,C3,p,f
CAMI13,Scrophulariaceae,Castilleja,minor,,lesser Indian paintbrush,y,C3,p,f
CAPA47,Solanaceae,Calibrachoa,parviflora,,seaside petunia,y,C3,a,f
CAWR,Asteraceae,Calycoseris,wrightii,,white tackstem,y,C3,a,f
CEAR12,Gentianaceae,Centaurium,arizonicum,,Arizona centaury,y,C3,a,f
CELAR,Ulmaceae,Celtis,laevigata,var. reticulata,netleaf hackberry,y,C3,p,t
CEMO2,Rosaceae,Cercocarpus,montanus,,alderleaf mountain mahogany,y,C3,p,t
CEMOP,Rosaceae,Cercocarpus,montanus,var. paucidentatus,hairy mountain mahogany,y,C3,p,t
CESI,Loasaceae,Cevallia,sinuata,,stinging serpent,y,C3,p,f
CHAL11,Euphorbiaceae,Chamaesyce,albomarginata,,whitemargin sandmat,y,C4,p,f
CHAL7,Chenopodiaceae,Chenopodium,album,,lambsquarters,n,C3,a,f
CHAM,Chenopodiaceae,Chenopodium,ambrosioides,,Mexican tea,n,C3,p,f
CHAMA15,Euphorbiaceae,Chamaesyce,NA,,sandmat,y,C4,ap,f
CHBA11,Asteraceae,Chrysothamnus,baileyi,,Bailey's rabbitbrush,y,NA,p,s
CHCHC3,Euphorbiaceae,Chamaesyce,chaetocalyx,var. chaetocalyx,bristlecup sandmat,y,C4,p,f
CHCO,Solanaceae,Chamaesaracha,coniodes,,gray five eyes,y,C3,p,f
CHCO2,Solanaceae,Chamaesaracha,coronopus,,greenleaf five eyes,y,C3,p,f
CHER2,Asteraceae,Chaetopappa,ericoides,,rose heath,y,C3,p,f
CHFE,Pteridaceae,Cheilanthes,feei,,slender lipfern,y,C3,p,f
CHFE3,Euphorbiaceae,Chamaesyce,fendleri,,Fendler's sandmat,y,C4,p,f
CHFR3,Chenopodiaceae,Chenopodium,fremontii,,Fremont's goosefoot,y,C3,a,f
CHGE2,Euphorbiaceae,Chamaesyce,geyeri,,Geyer's sandmat,y,C4,a,f
CHGL13,Euphorbiaceae,Chamaesyce,glyptosperma,,ribseed sandmat ,y,C4,a,f
CHGL3,Chenopodiaceae,Chenopodium,glaucum,,oakleaf goosefoot,n,NA,a,f
CHGR2,Chenopodiaceae,Chenopodium,graveolens,,fetid goosefoot,y,C3,a,f
CHIN2,Chenopodiaceae,Chenopodium,incanum,,mealy goosefoot,y,C3,a,f
CHLA10,Euphorbiaceae,Chamaesyce,lata,,hoary sandmat,y,C4,p,f
CHLI2,Bignoniaceae,Chilopsis,linearis,,desert willow,y,C3,p,t
CHLIA,Bignoniaceae,Chilopsis,linearis,subsp. arcuata,desert willow,y,C3,p,t
CHMI7,Euphorbiaceae,Chamaesyce,micromera,,Sonoran sandmat,y,C4,a,f
CHMI8,Euphorbiaceae,Chamaesyce,missurica,,prairie sandmat,y,C4,a,f
CHPA28,Euphorbiaceae,Chamaesyce,parryi,,Parry's sandmat,y,NA,a,f
CHPR6,Euphorbiaceae,Chamaesyce,prostrata,,prostrate sandmat,y,NA,p,f
CHRE4,Euphorbiaceae,Chamaesyce,revoluta,,threadstem sandmat,y,C4,a,f
CHRU,Chenopodiaceae,Chenopodium,rubrum,,red goosefoot,n,C3,a,f
CHSE7,Euphorbiaceae,Chamaesyce,serrula,,sawtooth sandmat,y,C4,a,f
CHSE8,Euphorbiaceae,Chamaesyce,setiloba,,Yuma sandmat,y,NA,a,f
CHSES,Euphorbiaceae,Chamaesyce,serpyllifolia,subsp. serpyllifolia,thymeleaf sandmat,y,C4,a,f
CHSO,Solanaceae,Chamaesaracha,sordida,,hairy five eyes,y,C3,p,f
CHSP11,Asteraceae,Chloracantha,spinosa,,spiny choracantha,y,C3,p,f
CHST8,Euphorbiaceae,Chamaesyce,stictospora,,slimseed sandmat,y,C4,a,f
CHVI4,Poaceae,Chloris,virgata,,feather fingergrass,y,C4,a,g
CHWO,Pteridaceae,Cheilanthes,wootonii,,beaded lipfern,y,C3,p,f
CICA11,Asteraceae,Cirsium,canescens,,prairie thistle,y,NA,a,f
CINE,Asteraceae,Cirsium,neomexicanum,,New Mexico thistle,y,C3,p,f
CIOC2,Asteraceae,Cirsium,ochrocentrum,,yellowspine thistle,y,C3,p,f
CIUN,Asteraceae,Cirsium,undulatum,,wavyleaf thistle,y,NA,p,f
CLLI2,Ranunculaceae,Clematis,ligusticifolia,,western white clematis,y,C3,p,s
CLSE,Capparaceae,Cleome,serrulata,,Rocky Mountain beeplant,y,C3,a,f
COAR4,Convolvulaceae,Convolvulus,arvensis,,field bindweed,n,C3,p,f
COAU2,Fumariaceae,Corydalis,aurea,,scrambled eggs,y,C3,a,f
COCA5,Asteraceae,Conyza,canadensis,,Canadian horseweed,n,C3,a,f
COEQ,Convolvulaceae,Convolvulus,equitans,,Texas bindweed,y,C3,p,f
COERA,Commelinaceae,Commelina,erecta,var. angustifolia,whitemouth dayflower,y,C3,p,f
COWR2,Scrophulariaceae,Cordylanthus,wrightii,,Wright's bird's beak,y,C3,a,f
CRCI3,Boraginaceae,Cryptantha,cinerea,,James' cryptantha,y,C3,p,f
CRCIC,Boraginaceae,Cryptantha,cinerea,var. cinerea,James' cryptantha,y,C3,p,f
CRCIJ,Boraginaceae,Cryptantha,cinerea,var. jamesii,James' cryptantha,y,C3,p,f
CRCIL,Boraginaceae,Cryptantha,cinerea,var. laxa,James' cryptantha,y,C3,p,f
CRCR3,Boraginaceae,Cryptantha,crassisepala,,thicksepal cryptantha,y,C3,a,f
CRCRE,Boraginaceae,Cryptantha,crassisepala,var. elachantha,thicksepal cryptantha,y,C3,a,f
CRFU,Boraginaceae,Cryptantha,fulvocanescens,,tawny cryptantha,y,NA,p,f
CROB,Boraginaceae,Cryptantha,oblata,,rough cryptantha,y,NA,p,f
CRPA8,Boraginaceae,Cryptantha,paysonii,,Payson's cryptantha,y,NA,p,f
CRTE4,Euphorbiaceae,Croton,texensis,,Texas croton,y,C3,a,f
CRTR5,Convolvulaceae,Cressa,truxillensis,,spreading alkaliweed,y,C3,p,f
CUFO,Cucurbitaceae,Cucurbita,foetidissima,,Missouri gourd,y,C3,p,f
CUSCU,Cuscutaceae,Cuscuta,NA,,dodder,NA,C3,a,f
CYACF,Apiaceae,Cymopterus,acaulis,var. fendleri,Fendler's springparsley,y,C3,p,f
CYAT,Chenopodiaceae,Cycloloma,atriplicifolium,,winged pigweed,y,C3,a,f
CYES,Cyperaceae,Cyperus,esculentus,,yellow nutsedge,y,C4,p,g
CYIM2,Cactaceae,Cylindropuntia,imbricata,,tree cholla,y,CAM,p,s
CYIMI,Cactaceae,Cylindropuntia,imbricata,var. imbricata,tree cholla,y,CAM,p,s
CYLE8,Cactaceae,Cylindropuntia,leptocaulis,,Christmas cactus,y,CAM,p,s
CYMO,Apiaceae,Cymopterus,montanus,,mountain springparsley,y,C3,p,f
CYOD,Cyperaceae,Cyperus,odoratus,,fragrant flatsedge,y,C4,p,g
CYOF,Boraginaceae,Cynoglossum,officinale,,gypsyflower,n,C3,a,f
DABR,Fabaceae,Dalea,brachystachya,,NA,y,C3,a,f
DACA7,Fabaceae,Dalea,candida,,white prairie clover,y,C3,p,f
DACAC,Fabaceae,Dalea,candida,var. candida,white prairie clover,y,C3,p,f
DACAO,Fabaceae,Dalea,candida,var. oligophylla,white prairie clover,y,C3,p,f
DACY,Fabaceae,Dalea,cylindriceps,,Andean prairie clover,y,C3,p,f
DAFO,Fabaceae,Dalea,formosa,,featherplume,y,C3,p,s
DAJA,Fabaceae,Dalea,jamesii,,James' prairie clover,y,C3,p,f
DALA3,Fabaceae,Dalea,lanata,,woolly prairie clover,y,C3,p,f
DALAT,Fabaceae,Dalea,lanata,var. terminalis,woolly prairie clover,y,C3,p,f
DALE3,Fabaceae,Dalea,leporina,,foxtail prairie clover,y,C3,a,f
DALEA,Fabaceae,Dalea,NA,,prairie clover,NA,C3,ap,f
DANA,Fabaceae,Dalea,nana,,dwarf prairie clover,y,C3,p,f
DANAN,Fabaceae,Dalea,nana,var. nana,dwarf prairie clover,y,C3,p,f
DANE,Fabaceae,Dalea,neomexicana,,downy prairie clover,y,C3,p,f
DAPU7,Poaceae,Dasyochloa,pulchella,,low woolygrass,y,C4,p,g
DAPUP,Fabaceae,Dalea,purpurea,var. purpurea,purple prairie clover,y,C3,p,f
DASC4,Fabaceae,Dalea,scariosa,,Albuquerque prairie clover,y,C3,p,f
DAWR,Fabaceae,Dalea,wrightii,,Wright's prairie clover,y,C3,p,f
DECAV2,Ranunculaceae,Delphinium,carolinianum,var. virescens,Carolina larkspur,y,C3,p,f
DEOB,Brassicaceae,Descurainia,obtusa,,blunt tansymustard,y,C3,p,f
DEPI,Brassicaceae,Descurainia,pinnata,,western tansymustard,y,C3,p,f
DEPIH,Brassicaceae,Descurainia,pinnata,var. halictorum,western tansymustard,y,C3,p,f
DESO2,Brassicaceae,Descurainia,sophia,,herb sophia,n,C3,a,f
DEWO,Ranunculaceae,Delphinium,wootonii,,Organ Mountain larkspur,y,C3,p,f
DISP,Poaceae,Distichlis,spicata,,saltgrass,y,C4,p,g
DIWI2,Brassicaceae,Dimorphocarpa,wislizeni,,touristplant,y,C3,a,f
DRCUC,Brassicaceae,Draba,cuneifolia,var. cuneifolia,wedgeleaf draba,y,C3,a,f
DRGL5,Caryophyllaceae,Drymaria,glandulosa,,Fendler's drymary,y,C3,a,f
DYGR,Chenopodiaceae,Chenopodium,graveolens,,fetid goosefoot,y,C3,a,f
DYPA,Asteraceae,Dyssodia,papposa,,fetid marigold,y,C3,a,f
ECCOC,Cactaceae,Echinocereus,coccineus,var. coccineus,scarlet hedgehog cactus,y,CAM,p,s
ECCR,Poaceae,Echinochloa,crus-galli,,barnyardgrass,y,C4,a,g
ECCRM,Poaceae,Echinochloa,crus-pavonis,var. macera,gulf cockspur grass,y,C4,a,g
